tag,total_posts,total_views,total_answers,total_comments,total_favorites,year
python,299375,90079323,348131,590876,30885,2020
javascript,263982,451873786,391643,630988,87591,2016
javascript,255483,472718142,387566,598602,95078,2015
javascript,249896,365146121,359271,618928,67271,2017
javascript,235506,539036428,374997,534326,101135,2014
javascript,224924,66130045,270089,470405,19477,2020
python,224827,157724489,292579,489003,42284,2019
java,217077,572657179,354126,528668,99640,2014
java,215208,429772164,322261,534630,81762,2015
python,210389,16648598,202961,382547,11992,2021
javascript,208621,232085086,292945,524448,45930,2018
python,206011,278243995,275439,471441,62383,2018
java,196660,313368582,271453,496530,59416,2016
javascript,195619,817022514,354864,439716,148606,2013
python,191872,400466676,267319,437059,80573,2017
java,190536,844564268,364509,435784,127194,2013
javascript,188940,129135987,260028,453565,29645,2019
php,177888,284036930,276994,462006,43622,2014
java,174335,231951153,232923,462090,48244,2017
php,170773,241382698,243064,463360,41039,2015
php,166995,447059155,300258,424567,61887,2013
android,165260,387785828,238699,331330,97260,2014
c#,164990,597725971,292043,393836,89331,2013
android,163250,354598216,228915,340638,91184,2015
c#,162612,332963453,245568,402303,56025,2014
php,161213,183252628,218443,455705,29551,2016
android,159351,275773723,215954,356494,66773,2016
python,158311,420355350,231921,347081,88276,2016
c#,154551,240161460,217198,418289,46297,2015
android,153665,555833758,252653,276588,128549,2013
javascript,151374,11143327,148107,286800,7645,2021
c#,148710,205661609,201199,408162,40572,2016
jquery,145870,498963733,265885,331770,69355,2013
java,145843,144403197,187030,392199,35161,2018
java,144583,841829669,306918,278247,151133,2012
jquery,143085,270704575,234044,338575,33244,2014
php,141324,139764708,185787,417045,25214,2017
c#,138352,636584720,279671,283558,99640,2012
python,137057,441452174,210915,299253,90413,2015
javascript,136208,784399919,283779,263011,152179,2012
android,135433,199062857,180948,304383,49298,2017
html,133152,321223631,232298,313608,43802,2014
html,132449,219206039,216784,316237,32352,2015
php,131606,448910026,267266,288737,68483,2012
c#,131289,152477478,166003,392764,30777,2017
android,128535,540253690,227876,182626,137351,2012
jquery,128108,175351072,197180,313970,24310,2015
java,127634,35652258,137578,285380,14949,2020
html,127057,176923098,204055,307248,26355,2016
java,126700,74130678,153811,319310,21369,2019
html,117080,131809754,182221,287240,20557,2017
python,116223,475286621,186769,236470,94825,2014
jquery,113704,488735169,229352,210483,66236,2012
c#,112738,667835549,266467,193031,115725,2011
html,112676,546774509,218299,255324,65693,2013
jquery,111589,121584956,167537,285702,17332,2016
c#,108678,88575234,129479,353893,22140,2018
android,107644,126187418,134838,245833,33131,2018
php,102683,73314163,128699,317503,15600,2018
c#,99776,54302258,115444,307032,15651,2019
java,98919,852426360,243792,152084,155287,2011
ios,98781,184844650,142185,195383,60850,2015
