시군명,구/읍면동명,사고년도,사고유형구분,다발지역FID,다발지역ID,법정동코드,위치코드,시도시군구명,사고지역위치명,발생건수,사상자수,사망자수,중상자수,경상자수,부상자수,위도,경도,사고다발지역폴리곤정보
시흥시,장곡동,2018,보행어린이사고다발지,6504068,2019035,4139013000,41390001,경기도 시흥시1,경기도 시흥시 장곡동(진말로9번길 부근),3,3,0,1,1,1,37.378246811642,126.784444410682,"{""type"":""Polygon"",""coordinates"":[[[126.78624104,37.37824681],[126.78620652,37.37796828],[126.78610428,37.37770046],[126.78593825,37.37745363],[126.78571482,37.37723728],[126.78544257,37.37705973],[126.78513195,37.37692779],[126.78479492,37.37684655],[126.78444441,37.37681911],[126.78409391,37.37684655],[126.78375687,37.37692779],[126.78344626,37.37705973],[126.783174,37.37723728],[126.78295057,37.37745363],[126.78278454,37.37770046],[126.7826823,37.37796828],[126.78264778,37.37824681],[126.7826823,37.37852534],[126.78278454,37.37879316],[126.78295057,37.37903999],[126.783174,37.37925633],[126.78344626,37.37943388],[126.78375687,37.37956581],[126.78409391,37.37964705],[126.78444441,37.37967448],[126.78479492,37.37964705],[126.78513195,37.37956581],[126.78544257,37.37943388],[126.78571482,37.37925633],[126.78593825,37.37903999],[126.78610428,37.37879316],[126.78620652,37.37852534],[126.78624104,37.37824681]]]}"
시흥시,정왕동,2017,보행어린이사고다발지,6395217,2018028,4139013200,41390001,경기도 시흥시1,경기도 시흥시 정왕동(큰솔공원 부근),3,3,1,0,1,1,37.3439066139,126.754118636367,"{""type"":""Polygon"",""coordinates"":[[[126.75591527,37.34390661],[126.75588075,37.34362796],[126.75577851,37.34336001],[126.75561248,37.34311307],[126.75538905,37.34289662],[126.75511679,37.34271899],[126.75480618,37.34258699],[126.75446914,37.34250571],[126.75411864,37.34247826],[126.75376813,37.34250571],[126.7534311,37.34258699],[126.75312048,37.34271899],[126.75284823,37.34289662],[126.75262479,37.34311307],[126.75245877,37.34336001],[126.75235653,37.34362796],[126.75232201,37.34390661],[126.75235653,37.34418527],[126.75245877,37.34445321],[126.75262479,37.34470015],[126.75284823,37.34491659],[126.75312048,37.34509422],[126.7534311,37.34522621],[126.75376813,37.34530749],[126.75411864,37.34533494],[126.75446914,37.34530749],[126.75480618,37.34522621],[126.75511679,37.34509422],[126.75538905,37.34491659],[126.75561248,37.34470015],[126.75577851,37.34445321],[126.75588075,37.34418527],[126.75591527,37.34390661]]]}"
시흥시,거모동,2015,보행어린이사고다발지,6169274,2016044,4139012700,41390001,경기도 시흥시1,경기도 시흥시 거모동(도일삼거리 부근),4,4,0,0,2,2,37.343200705449,126.784810800779,"{""type"":""Polygon"",""coordinates"":[[[126.78660743,37.34320071],[126.78657291,37.34292205],[126.78647067,37.3426541],[126.78630464,37.34240715],[126.78608121,37.3421907],[126.78580896,37.34201307],[126.78549834,37.34188107],[126.78516131,37.34179979],[126.7848108,37.34177234],[126.7844603,37.34179979],[126.78412326,37.34188107],[126.78381265,37.34201307],[126.78354039,37.3421907],[126.78331696,37.34240715],[126.78315093,37.3426541],[126.78304869,37.34292205],[126.78301417,37.34320071],[126.78304869,37.34347936],[126.78315093,37.34374731],[126.78331696,37.34399425],[126.78354039,37.3442107],[126.78381265,37.34438833],[126.78412326,37.34452032],[126.7844603,37.3446016],[126.7848108,37.34462904],[126.78516131,37.3446016],[126.78549834,37.34452032],[126.78580896,37.34438833],[126.78608121,37.3442107],[126.78630464,37.34399425],[126.78647067,37.34374731],[126.78657291,37.34347936],[126.78660743,37.34320071]]]}"
시흥시,대야동,2015,보행어린이사고다발지,6165550,2016044,4139010100,41390002,경기도 시흥시2,경기도 시흥시 대야동(대야오거리 부근),3,3,0,2,1,0,37.448549562513,126.788354029816,"{""type"":""Polygon"",""coordinates"":[[[126.79015066,37.44854956],[126.79011614,37.4482713],[126.7900139,37.44800372],[126.78984787,37.44775712],[126.78962444,37.44754098],[126.78935218,37.44736359],[126.78904157,37.44723178],[126.78870454,37.44715061],[126.78835403,37.4471232],[126.78800352,37.44715061],[126.78766649,37.44723178],[126.78735588,37.44736359],[126.78708362,37.44754098],[126.78686019,37.44775712],[126.78669416,37.44800372],[126.78659192,37.4482713],[126.7865574,37.44854956],[126.78659192,37.44882783],[126.78669416,37.4490954],[126.78686019,37.44934199],[126.78708362,37.44955813],[126.78735588,37.44973552],[126.78766649,37.44986732],[126.78800352,37.44994849],[126.78835403,37.44997589],[126.78870454,37.44994849],[126.78904157,37.44986732],[126.78935218,37.44973552],[126.78962444,37.44955813],[126.78984787,37.44934199],[126.7900139,37.4490954],[126.79011614,37.44882783],[126.79015066,37.44854956]]]}"
시흥시,거모동,2014,보행어린이사고다발지,6101137,2015049,4139012700,41390001,경기도 시흥시1,경기도 시흥시 거모동(도일삼거리 부근),5,6,0,2,3,1,37.343531878994,126.78457299395,"{""type"":""Polygon"",""coordinates"":[[[126.786169,37.3448061],[126.785827,37.3450302],[126.7854368,37.3451968],[126.7850133,37.3452993],[126.784573,37.3453339],[126.7841326,37.3452993],[126.7837092,37.3451968],[126.783319,37.3450302],[126.782977,37.3448061],[126.7826963,37.344533],[126.7824877,37.3442215],[126.7823593,37.3438834],[126.7823159,37.3435319],[126.7823593,37.3431803],[126.7824877,37.3428422],[126.7826963,37.3425307],[126.782977,37.3422576],[126.783319,37.3420335],[126.7837093,37.341867],[126.7841327,37.3417644],[126.784573,37.3417298],[126.7850133,37.3417644],[126.7854367,37.341867],[126.7858269,37.3420335],[126.786169,37.3422576],[126.7864497,37.3425307],[126.7866583,37.3428422],[126.7867867,37.3431803],[126.7868301,37.3435319],[126.7867867,37.3438834],[126.7866583,37.3442215],[126.7864497,37.344533],[126.786169,37.3448061]]]}"
시흥시,신천동,2013,보행어린이사고다발지,198096,2014110,4139010200,41390002,경기도 시흥시2,경기도 시흥시 신천동(동완하이츠맨션 부근),3,4,0,3,1,0,37.436829004056,126.78359500101,"{""type"":""Polygon"",""coordinates"":[[[126.785193,37.4381032],[126.7848506,37.4383273],[126.7844598,37.4384939],[126.7840359,37.4385964],[126.783595,37.438631],[126.7831541,37.4385964],[126.7827302,37.4384939],[126.7823394,37.4383273],[126.781997,37.4381032],[126.7817159,37.4378301],[126.7815071,37.4375186],[126.7813785,37.4371805],[126.7813351,37.436829],[126.7813785,37.4364774],[126.7815072,37.4361394],[126.781716,37.4358278],[126.781997,37.4355548],[126.7823395,37.4353307],[126.7827302,37.4351641],[126.7831541,37.4350616],[126.783595,37.435027],[126.7840359,37.4350616],[126.7844598,37.4351641],[126.7848505,37.4353307],[126.785193,37.4355548],[126.785474,37.4358278],[126.7856828,37.4361394],[126.7858115,37.4364774],[126.7858549,37.436829],[126.7858115,37.4371805],[126.7856829,37.4375186],[126.7854741,37.4378301],[126.785193,37.4381032]]]}"
시흥시,거모동,2013,보행어린이사고다발지,5540552,2014110,4139012700,41390001,경기도 시흥시1,경기도 시흥시 거모동(훼미리마트(시흥늘푸른점) 부근),4,5,0,1,4,0,37.346054828069,126.783767781459,"{""type"":""Polygon"",""coordinates"":[[[126.7853639,37.3473291],[126.7850218,37.3475532],[126.7846316,37.3477197],[126.7842081,37.3478223],[126.7837678,37.3478569],[126.7833274,37.3478223],[126.782904,37.3477197],[126.7825137,37.3475532],[126.7821717,37.3473291],[126.781891,37.347056],[126.7816824,37.3467444],[126.781554,37.3464064],[126.7815106,37.3460548],[126.781554,37.3457032],[126.7816825,37.3453652],[126.781891,37.3450536],[126.7821718,37.3447806],[126.7825138,37.3445565],[126.782904,37.3443899],[126.7833274,37.3442874],[126.7837678,37.3442528],[126.7842081,37.3442874],[126.7846315,37.3443899],[126.7850218,37.3445565],[126.7853638,37.3447806],[126.7856445,37.3450536],[126.7858531,37.3453652],[126.7859816,37.3457032],[126.7860249,37.3460548],[126.7859816,37.3464064],[126.7858532,37.3467444],[126.7856446,37.347056],[126.7853639,37.3473291]]]}"
시흥시,정왕동,2013,보행어린이사고다발지,198401,2014110,4139013200,41390003,경기도 시흥시3,경기도 시흥시 정왕동(럭키슈퍼 부근),3,3,0,1,2,0,37.356567712131,126.730423713685,"{""type"":""Polygon"",""coordinates"":[[[126.73202,37.3578419],[126.7316779,37.3580661],[126.7312876,37.3582326],[126.7308641,37.3583351],[126.7304237,37.3583698],[126.7299833,37.3583351],[126.7295598,37.3582326],[126.7291695,37.3580661],[126.7288274,37.3578419],[126.7285467,37.3575689],[126.7283381,37.3572573],[126.7282096,37.3569193],[126.7281662,37.3565677],[126.7282096,37.3562161],[126.7283381,37.3558781],[126.7285467,37.3555665],[126.7288275,37.3552935],[126.7291695,37.3550694],[126.7295598,37.3549028],[126.7299833,37.3548003],[126.7304237,37.3547657],[126.7308641,37.3548003],[126.7312876,37.3549028],[126.7316779,37.3550694],[126.73202,37.3552935],[126.7323007,37.3555665],[126.7325093,37.3558781],[126.7326378,37.3562161],[126.7326812,37.3565677],[126.7326378,37.3569193],[126.7325094,37.3572573],[126.7323008,37.3575689],[126.73202,37.3578419]]]}"
시흥시,거모동,2012,보행어린이사고다발지,143374,2013097,4139012700,41390005,경기도 시흥시5,경기도 시흥시 거모동(알곡감리교회 부근),5,5,0,1,4,0,37.346072791127,126.782951245605,"{""type"":""Polygon"",""coordinates"":[[[126.7845473,37.347347],[126.7842053,37.3475711],[126.783815,37.3477377],[126.7833916,37.3478402],[126.7829512,37.3478749],[126.7825109,37.3478402],[126.7820874,37.3477377],[126.7816972,37.3475711],[126.7813552,37.347347],[126.7810745,37.3470739],[126.7808659,37.3467624],[126.7807374,37.3464243],[126.7806941,37.3460728],[126.7807375,37.3457212],[126.7808659,37.3453832],[126.7810745,37.3450716],[126.7813552,37.3447985],[126.7816973,37.3445744],[126.7820875,37.3444079],[126.7825109,37.3443054],[126.7829512,37.3442707],[126.7833916,37.3443054],[126.783815,37.3444079],[126.7842052,37.3445744],[126.7845473,37.3447985],[126.784828,37.3450716],[126.7850366,37.3453832],[126.785165,37.3457212],[126.7852084,37.3460728],[126.7851651,37.3464243],[126.7850366,37.3467624],[126.784828,37.3470739],[126.7845473,37.347347]]]}"
시흥시,월곶동,2012,보행어린이사고다발지,140214,2013097,4139013100,41390004,경기도 시흥시4,경기도 시흥시 월곶동(경민건설(주) 부근),4,4,0,2,2,0,37.389216428097,126.73626516021,"{""type"":""Polygon"",""coordinates"":[[[126.7378622,37.3904907],[126.7375199,37.3907148],[126.7371295,37.3908813],[126.7367058,37.3909838],[126.7362652,37.3910185],[126.7358245,37.3909838],[126.7354009,37.3908813],[126.7350104,37.3907148],[126.7346682,37.3904907],[126.7343873,37.3902176],[126.7341786,37.389906],[126.7340501,37.389568],[126.7340067,37.3892164],[126.7340501,37.3888648],[126.7341786,37.3885268],[126.7343873,37.3882152],[126.7346682,37.3879422],[126.7350105,37.3877181],[126.7354009,37.3875516],[126.7358246,37.387449],[126.7362652,37.3874144],[126.7367058,37.387449],[126.7371294,37.3875516],[126.7375199,37.3877181],[126.7378621,37.3879422],[126.738143,37.3882152],[126.7383517,37.3885268],[126.7384802,37.3888648],[126.7385236,37.3892164],[126.7384802,37.389568],[126.7383517,37.389906],[126.738143,37.3902176],[126.7378622,37.3904907]]]}"
