,0세,1세,2세,3세,4세,5세,6세,7세,8세,9세,10세,11세,12세,13세,합계,어린이 보호구역 수,CCTV 수,어린이 보호구역 수 비율,CCTV 수 비율
시흥시,3423,3946,4380,4709,5179,5581,5618,5169,5616,5498,5398,5013,5160,5329,70019,126.0,784.0,0.17995115611476883,1.119696082491895
대야동,314,355,341,383,350,415,357,338,317,327,323,281,322,370,4793,10.0,84.0,0.2086375964948884,1.7525558105570624
신천동,113,114,118,116,169,164,187,181,222,219,255,239,262,294,2653,10.0,98.0,0.3769317753486619,3.6939313984168867
신현동,38,32,41,41,41,54,35,44,48,63,67,62,73,74,713,4.0,40.0,0.5610098176718092,5.610098176718092
은행동,498,585,670,799,864,912,847,726,730,699,659,583,612,595,9779,12.0,45.0,0.12271193373555578,0.46016975150833417
매화동,33,49,46,59,64,81,71,88,80,95,108,101,113,102,1090,6.0,38.0,0.5504587155963303,3.486238532110092
목감동,425,514,567,544,676,657,733,576,580,571,484,403,360,375,7465,8.0,29.0,0.10716677829872738,0.3884795713328868
군자동,69,108,119,125,139,190,188,153,205,235,204,232,198,238,2403,10.0,63.0,0.41614648356221395,2.6217228464419478
월곶동,90,112,109,136,137,133,158,141,175,185,173,167,146,173,2035,5.0,14.0,0.2457002457002457,0.687960687960688
정왕본동,91,106,105,112,109,138,107,108,138,127,110,117,117,123,1608,43.0,141.0,2.674129353233831,8.768656716417912
정왕1동,85,97,100,117,123,130,158,166,151,150,185,193,198,198,2051,0.0,50.0,0.0,2.437835202340322
정왕2동,146,163,201,212,243,269,259,248,307,331,297,345,369,381,3771,0.0,27.0,0.0,0.7159904534606205
정왕3동,121,116,163,136,161,197,190,190,209,226,202,209,227,227,2574,0.0,41.0,0.0,1.5928515928515927
정왕4동,115,119,113,165,155,180,196,180,225,201,225,234,254,241,2603,0.0,24.0,0.0,0.9220130618517095
배곧동,713,867,958,1045,1148,1246,1250,1186,1288,1158,1111,965,956,940,14831,0.0,0.0,0.0,0.0
과림동,4,5,6,4,3,4,3,4,5,1,9,1,7,1,57,0.0,17.0,0.0,29.82456140350877
연성동,122,142,163,163,179,173,180,179,203,213,238,250,245,290,2740,9.0,36.0,0.3284671532846715,1.313868613138686
장곡동,234,255,317,319,366,398,455,421,447,469,488,399,437,430,5435,5.0,13.0,0.09199632014719411,0.2391904323827047
능곡동,212,207,243,233,252,240,244,240,286,228,260,232,264,277,3418,4.0,24.0,0.11702750146284377,0.7021650087770626
