시군명,시설구분명,공사립구분명,시설명,전화번호,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도
시흥시,어린이집,국공립,시립정왕2동어린이집,031-432-0660,경기도 시흥시 정왕동 1849-8번지,경기도 시흥시 정왕대로118번길 5 (정왕동),15038,37.3511062059,126.7284623912
시흥시,어린이집,국공립,시립정왕보듬이나눔이어린이집,031-431-9555,경기도 시흥시 정왕동 2132번지,경기도 시흥시 경기과기대로 283,15073,37.3398500318,126.7357010116
시흥시,어린이집,국공립,시립정왕본동어린이집,031-319-7934,경기도 시흥시 정왕동 2318-6번지,경기도 시흥시 오동마을로6번안길 17 (정왕동),15049,37.3522341513,126.7440098556
시흥시,어린이집,국공립,시립정왕어린이집,031-496-0015,경기도 시흥시 정왕동 1866-1번지 시립정왕어린이집,경기도 시흥시 정왕대로53번길 38 시립정왕어린이집,15030,37.3576099706,126.7264536283
시흥시,어린이집,국공립,시립종합복지어린이집,031-311-3751,경기도 시흥시 대야동 571-3번지,경기도 시흥시 은행로173번길 14 (대야동),14914,37.4455175348,126.7968163486
시흥시,어린이집,민간,시온어린이집,031-311-5223,경기도 시흥시 신천동 883-13번지,경기도 시흥시 시흥대로1073번길 4-8,14951,37.4324681458,126.7926658768
시흥시,어린이집,가정,아롱별어린이집,031-311-9101,경기도 시흥시 은행동 620번지 은계브리즈힐아파트 1009동 101호,경기도 시흥시 은계중앙로 118 1009동 101호(은계브리즈힐아파트),14923,37.4393609069,126.8028425434
시흥시,어린이집,민간,사랑어린이집,031-315-3344,경기도 시흥시 신천동 822-19번지,경기도 시흥시 신천8길 34-2,14947,37.4366564286,126.7772647130
시흥시,어린이집,사회복지법인,사회복지법인 거모어린이집,031-492-8455,경기도 시흥시 거모동 1730-7번지,경기도 시흥시 한우물로 49 (거모동),15071,37.3468514236,126.7828457345
시흥시,어린이집,사회복지법인,사회복지법인 크레용어린이집,031-317-6900,경기도 시흥시 장현동 533-5번지 크레용 어린이집,경기도 시흥시 시청로72번길 15-2 크레용 어린이집 (장현동),14998,37.3817428970,126.8008235371
시흥시,어린이집,민간,산들어린이집,031-498-7488,경기도 시흥시 정왕동 1187-6번지,경기도 시흥시 군서로36번길 15-1,15052,37.3467765190,126.7489871057
시흥시,어린이집,민간,산호마을어린이집,031-435-4279,경기도 시흥시 월곶동 1011-6번지 풍림2차아파트 관리동1층,경기도 시흥시 월곶중앙로 87-1 풍림2차아파트 관리동1층,14963,37.3897044558,126.7356809117
시흥시,어린이집,가정,삼성어린이집,070-8200-3030,경기도 시흥시 정왕동 2501번지 호반베르디움더프라임 902동 104호,"경기도 시흥시 서울대학로 328 902동 104호(정왕동, 호반베르디움더프라임)",15010,37.3719477129,126.7287572112
시흥시,어린이집,민간,새봄어린이집,031-313-3098,경기도 시흥시 대야동 454-4번지 새봄어린이집,경기도 시흥시 대야로 44 새봄어린이집 (대야동),14905,37.4470768433,126.7907760357
시흥시,어린이집,민간,새싹어린이집,031-311-7575,경기도 시흥시 신천동 825-12번지,경기도 시흥시 신천8길 37-10,14947,37.4361602273,126.7771903593
