시군명,설립구분명,시설명,전화번호,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도
시흥시,공립,배곧해솔초등학교,031-8063-7802,경기도 시흥시 정왕동 2560번지 배곧해솔초등학교,경기도 시흥시 서울대학로 150-17,15011,37.3602462886,126.7180346914
시흥시,공립,진말초등학교,070-709-7140,경기도 시흥시 장곡동 827번지 진말초등학교,경기도 시흥시 황고개로 567,15002,37.3806397933,126.7879945659
시흥시,공립,생금초등학교,070-7016-3004,경기도 시흥시 죽율동 767번지 생금초등학교,경기도 시흥시 죽율로 45-42,15050,37.3499185742,126.7572820402
시흥시,공립,서촌초등학교,070-7014-4094,경기도 시흥시 정왕동 1848-1번지,경기도 시흥시 정왕대로118번길 27,15038,37.3491406712,126.7272748230
시흥시,공립,서해초등학교,031-434-6153,경기도 시흥시 정왕동 1867-2번지 서해초등학교,경기도 시흥시 정왕대로53번길 14,15030,37.3558565187,126.7248348299
시흥시,공립,송운초등학교,070-4355-0603,경기도 시흥시 정왕동 1875-3번지 송운초등학교,경기도 시흥시 옥구천동로 433-25,15028,37.3599407332,126.7298315102
시흥시,공립,시화초등학교,070-5069-0304,경기도 시흥시 정왕동 1418-2번지 시화초등학교,경기도 시흥시 큰솔로7번길 10,15059,37.3390847743,126.7512800587
시흥시,공립,시흥능곡초등학교,070-7096-7291,경기도 시흥시 능곡동 797번지 시흥능곡초등학교,경기도 시흥시 능곡중앙로 22,14995,37.3653376846,126.8125795004
시흥시,공립,시흥매화초등학교,070-7097-0105,경기도 시흥시 매화동 445-1번지 시흥매화초등학교,경기도 시흥시 매화1로 62,14940,37.4161296697,126.8083505602
시흥시,공립,시흥월곶초등학교,070-7097-2518,경기도 시흥시 월곶동 1010-5번지 시흥월곶초등학교,경기도 시흥시 월곶해안로 69,14964,37.3915825549,126.7370230106
시흥시,공립,시흥장현초등학교,070-7097-1805,경기도 시흥시 장현동 169-6번지 시흥장현초등학교,경기도 시흥시 시청로80번길 5,14996,37.3817760433,126.7987177777
시흥시,공립,시흥초등학교,070-7097-2907,경기도 시흥시 정왕동 1871-4번지 시흥초등학교,경기도 시흥시 정왕대로143번길 15,15032,37.3518626905,126.7315876053
시흥시,공립,연성초등학교,070-7014-8707,경기도 시흥시 광석동 89-2번지 연성초등학교,경기도 시흥시 나분들길 44,14979,37.3875571344,126.8185983845
시흥시,공립,운흥초등학교,070-7091-3873,경기도 시흥시 조남동 675번지 운흥초등학교,경기도 시흥시 목감둘레로 109,14988,37.3726394497,126.8526054148
시흥시,공립,월포초등학교,070-709-7270,경기도 시흥시 월곶동 994-2번지 월포초등학교,경기도 시흥시 월곶중앙로 18,14967,37.3873611547,126.7430225867
시흥시,공립,장곡초등학교,070-7096-6086,경기도 시흥시 장곡동 797번지 장곡초등학교,경기도 시흥시 장곡로70번길 12,15002,37.3811057106,126.7816929132
시흥시,공립,조남초등학교,031-490-8272,경기도 시흥시 조남동 701번지,경기도 시흥시 목감둘레로 229-9,14986,37.3783599745,126.8591312026
시흥시,공립,포리초등학교,070-7097-2578,경기도 시흥시 포동 20-17번지 포리초등학교,경기도 시흥시 신현로202번길 31,14961,37.4050518662,126.7709153633
시흥시,공립,하중초등학교,070-7097-1306,경기도 시흥시 하중동 863번지,경기도 시흥시 하중로209번길 10,14976,37.3929174181,126.8069425118
시흥시,공립,도일초등학교,031-494-4167,경기도 시흥시 거모동 1379번지 도일초등학교,경기도 시흥시 군자로465번길 7,15067,37.3486969662,126.7820475998
시흥시,공립,목감초등학교,070-709-7155,경기도 시흥시 논곡동 160-37번지 목감초등학교,경기도 시흥시 목감초등길 49,14984,37.3868562637,126.8589343148
시흥시,공립,배곧초등학교,031-8099-9793,경기도 시흥시 정왕동 2482번지 배곧초등학교,경기도 시흥시 배곧4로 44-5,15010,37.3757788298,126.7291079939
시흥시,공립,검바위초등학교,070-7097-1003,경기도 시흥시 은행동 262번지 검바위초등학교,경기도 시흥시 수인로3247번길 59,14922,37.4327455137,126.7984664383
시흥시,공립,계수초등학교,070-709-7197,경기도 시흥시 계수동 145-1번지 계수초등학교,경기도 시흥시 계수로 203,14925,37.4529640938,126.8205740602
시흥시,공립,군서초등학교,070-7097-2004,경기도 시흥시 정왕동 1175번지 군서초등학교,경기도 시흥시 정왕천로427번길 30,15052,37.3471398389,126.7512757556
시흥시,공립,금모래초등학교,070-7097-0609,경기도 시흥시 은행동 551-2번지 금모래초등학교,경기도 시흥시 대은로 16-29,14919,37.4416600089,126.7953572923
시흥시,공립,대야초등학교,031-363-3005,경기도 시흥시 대야동 456-2번지 대야초등학교,경기도 시흥시 대골안길 31,14905,37.4465420947,126.7895465341
시흥시,공립,웃터골초등학교,070-7096-7704,경기도 시흥시 은행동 94-11번지 웃터골초등학교,경기도 시흥시 은행고길 18,14923,37.4397115488,126.7992158718
시흥시,공립,함현초등학교,070-7097-0804,경기도 시흥시 정왕동 1878-10번지 함현초등학교,경기도 시흥시 역전로 455,15017,37.3648872794,126.7377493750
시흥시,공립,도창초등학교,070-7097-2324,경기도 시흥시 도창동 118번지,경기도 시흥시 수인로2793번길 6,14939,37.4067205403,126.8237922236
시흥시,공립,배곧라온초등학교,031-8032-6590,경기도 시흥시 정왕동 2494번지 배곧라온초등학교,경기도 시흥시 배곧4로 94-39,15010,37.3723592745,126.7349119753
시흥시,공립,배곧한울초등학교,031-412-4300,경기도 시흥시 정왕동 2572번지,경기도 시흥시 배곧1로 28-25,15012,37.3601340626,126.7126395742
시흥시,공립,군자초등학교,031-487-6494,경기도 시흥시 거모동 1582-1번지 군자초등학교,경기도 시흥시 군자로 539,15068,37.3438592925,126.7873545834
시흥시,공립,냉정초등학교,070-709-7210,경기도 시흥시 정왕동 1872-3번지 냉정초등학교,경기도 시흥시 역전로 369,15026,37.3576094292,126.7347838235
시흥시,공립,소래초등학교,031-311-9050,경기도 시흥시 신천동 704-2번지 소래초등학교,경기도 시흥시 호현로27번길 14,14904,37.4436575450,126.7838819761
시흥시,공립,승지초등학교,070-701-3860,경기도 시흥시 능곡동 550번지 승지초등학교,경기도 시흥시 승지로 110,14994,37.3725006282,126.8125162492
시흥시,공립,시흥도원초등학교,070-7097-1104,경기도 시흥시 신천동 438-1번지 시흥도원초등학교,경기도 시흥시 수인로3413번길 34,14946,37.4397716083,126.7776897604
시흥시,공립,시흥신일초등학교,070-709-7280,경기도 시흥시 신천동 885-1번지 시흥신일초등학교,경기도 시흥시 신천로7번길 12,14951,37.4325438010,126.7913601516
시흥시,공립,시흥은행초등학교,070-7097-0207,경기도 시흥시 은행동 545번지 시흥은행초등학교,경기도 시흥시 대은로104번길 29-10,14916,37.4423543000,126.8008585240
시흥시,공립,신천초등학교,070-7097-2208,경기도 시흥시 신천동 203번지 신천초등학교,경기도 시흥시 포도원로 88,14953,37.4348800407,126.7829358410
시흥시,공립,옥터초등학교,070-701-5440,경기도 시흥시 정왕동 1988번지 옥터초등학교,경기도 시흥시 옥터로 33,15015,37.3447200453,126.6922609919
시흥시,공립,은계초등학교,070-7096-7776,경기도 시흥시 대야동 584번지 은계초등학교,경기도 시흥시 대은로103번길 24,14915,37.4473225431,126.7977939364
시흥시,공립,정왕초등학교,070-7096-7806,경기도 시흥시 정왕동 1788-4번지 정왕초등학교,경기도 시흥시 중심상가로 257,15064,37.3407246764,126.7429689416
시흥시,공립,산현초등학교,031-804-0650,경기도 시흥시 산현동 515번지,경기도 시흥시 목감남서로 68,14989,37.3746927724,126.8449354415

