기준년도,시군명,지역교육청명,지역명,학교명,학교급명,설립구분명,주야간명,제외여부,제외사유,1학년수(명),2학년수(명),3학년수(명),4학년수(명),5학년수(명),6학년수(명),특수학급학생수(명),순회학급학생수(명),합계사항(명)
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,시흥은행중학교,,공립,주간,N,,362,394,356,,,,7,0,1119
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,시흥중학교,,공립,주간,N,,208,237,185,,,,11,0,641
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,신천중학교,,공립,주간,N,,99,84,79,,,,16,0,278
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,연성중학교,,공립,주간,N,,209,220,218,,,,5,0,652
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,장곡중학교,,공립,주간,N,,164,147,151,,,,9,0,471
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,정왕중학교,,공립,주간,N,,220,191,194,,,,7,6,618
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,함현중학교,,공립,주간,N,,207,261,258,,,,3,0,729
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,조남중학교,,공립,주간,N,,310,260,209,,,,6,0,785
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,배곧해솔중학교,,공립,주간,N,,438,232,60,,,,2,0,732
2020,시흥시,경기도교육청,경기도 시흥시,경기스마트고등학교,,공립,주간,N,,176,82,77,,,,10,5,350
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,군서중학교,,공립,주간,N,,0,0,36,,,,1,0,37
2020,시흥시,경기도교육청,경기도 시흥시,군자디지털과학고등학교,,공립,주간,N,,133,126,166,,,,13,4,442
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,월곶중학교,,공립,주간,N,,148,136,125,,,,4,0,413
2020,시흥시,경기도교육청,경기도 시흥시,한국조리과학고등학교,,사립,주간,N,,244,243,239,,,,0,0,726
2020,시흥시,경기도교육청,경기도 시흥시,경기자동차과학고등학교,,사립,주간,N,,225,227,228,,,,0,0,680
2020,시흥시,경기도교육청,경기도 시흥시,함현고등학교,,공립,주간,N,,291,293,249,,,,16,0,849
2020,시흥시,경기도교육청,경기도 시흥시,배곧고등학교,,공립,주간,N,,325,326,305,,,,6,0,962
2020,시흥시,경기도교육청,경기도 시흥시,시흥고등학교,,공립,주간,N,,272,310,319,,,,13,0,914
2020,시흥시,경기도교육청,경기도 시흥시,군서고등학교,,공립,주간,N,,323,321,294,,,,9,0,947
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,시흥매화중학교,,공립,주간,N,,102,97,106,,,,2,0,307
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,은계중학교,,공립,주간,N,,320,233,194,,,,4,0,751
2020,시흥시,경기도교육청,경기도 시흥시,목감고등학교,,공립,주간,N,,152,0,0,,,,2,0,154
2020,시흥시,경기도교육청,경기도 시흥시,은행고등학교,,공립,주간,N,,319,332,295,,,,15,0,961
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,배곧한울초등학교,,공립,,N,,214,214,227,174,142,167,11,0,1149
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,배곧해솔초등학교,,공립,,N,,284,299,264,237,221,205,6,0,1516
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,은빛초등학교,,공립,,N,,234,186,195,148,125,112,3,0,1003
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,배곧누리초등학교,,공립,,N,,140,111,103,93,57,57,5,0,566
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,검바위초등학교,,공립,,N,,58,67,53,80,58,63,2,0,381
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,계수초등학교,,공립,,N,,14,14,8,15,18,15,3,0,87
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,군서초등학교,,공립,,N,,102,107,136,85,86,80,12,0,608
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,군자초등학교,,공립,,N,,103,150,146,124,116,144,12,0,795
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,금모래초등학교,,공립,,N,,114,149,136,145,119,144,2,0,809
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,냉정초등학교,,공립,,N,,78,106,130,97,112,129,13,0,665
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,대야초등학교,,공립,,N,,66,46,62,65,61,80,5,0,385
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,도일초등학교,,공립,,N,,79,65,81,81,97,82,12,4,501
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,도창초등학교,,공립,,N,,18,15,31,26,37,33,1,0,161
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,목감초등학교,,공립,,N,,66,79,65,70,62,69,8,0,419
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,서촌초등학교,,공립,,N,,81,109,94,79,104,116,9,0,592
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,서해초등학교,,공립,,N,,141,166,163,162,148,177,9,1,967
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,소래초등학교,,공립,,N,,48,56,64,70,55,76,8,0,377
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,송운초등학교,,공립,,N,,145,137,125,144,143,163,7,0,864
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,시화초등학교,,공립,,N,,56,54,45,47,70,60,13,1,346
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,시흥매화초등학교,,공립,,N,,71,74,73,78,77,66,5,0,444
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,시흥신일초등학교,,공립,,N,,84,121,116,107,124,129,11,0,692
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,시흥은행초등학교,,공립,,N,,100,125,120,121,146,127,3,0,742
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,시흥초등학교,,공립,,N,,97,128,129,121,121,125,10,0,731
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,신천초등학교,,공립,,N,,40,42,47,56,59,77,10,0,331
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,연성초등학교,,공립,,N,,44,56,51,84,83,82,5,0,405
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,옥터초등학교,,공립,,N,,40,61,50,48,59,50,5,0,313
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,은계초등학교,,공립,,N,,140,160,128,130,116,139,4,5,822
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,장곡초등학교,,공립,,N,,109,144,142,192,160,172,4,0,923
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,정왕초등학교,,공립,,N,,181,194,159,181,177,170,13,2,1077
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,진말초등학교,,공립,,N,,61,75,76,104,88,102,3,0,509
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,포리초등학교,,공립,,N,,32,28,41,43,41,49,3,0,237
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,하중초등학교,,공립,,N,,63,84,68,90,99,121,10,0,535
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,함현초등학교,,공립,,N,,72,77,72,75,86,78,3,0,463
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,승지초등학교,,공립,,N,,81,88,79,89,72,74,7,0,490
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,배곧초등학교,,공립,,N,,303,336,288,322,273,275,12,0,1809
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,배곧라온초등학교,,공립,,N,,260,322,261,264,215,220,12,0,1554
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,산현초등학교,,공립,,N,,181,196,188,152,135,96,0,0,948
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,운흥초등학교,,공립,,N,,194,204,171,135,124,122,7,0,957
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,조남초등학교,,공립,,N,,153,144,149,100,98,84,9,0,737
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,생금초등학교,,공립,,N,,82,93,73,74,66,66,4,0,458
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,시흥도원초등학교,,공립,,N,,46,63,62,83,69,65,4,0,392
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,시흥월곶초등학교,,공립,,N,,116,129,131,133,105,114,11,0,739
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,시흥장현초등학교,,공립,,N,,71,78,80,69,73,80,7,0,458
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,웃터골초등학교,,공립,,N,,121,106,106,90,75,72,5,0,575
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,월포초등학교,,공립,,N,,31,50,50,27,44,46,4,0,252
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,시흥능곡초등학교,,공립,,N,,100,110,95,125,111,140,6,0,687
2020,시흥시,경기도교육청,경기도 시흥시,장곡고등학교,,공립,주간,N,,217,236,222,,,,9,0,684
2020,시흥시,경기도교육청,경기도 시흥시,정왕고등학교,,공립,주간,N,,357,393,304,,,,0,0,1054
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,시화중학교,,공립,주간,N,,82,93,93,,,,4,0,272
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,논곡중학교,,공립,주간,N,,70,56,61,,,,2,0,189
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,시흥능곡중학교,,공립,주간,N,,242,221,202,,,,6,0,671
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,응곡중학교,,공립,주간,N,,244,190,175,,,,0,2,611
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,배곧중학교,,공립,주간,N,,431,404,443,,,,5,0,1283
2020,시흥시,경기도교육청,경기도 시흥시,서해고등학교,,공립,주간,N,,362,354,324,,,,19,0,1059
2020,시흥시,경기도교육청,경기도 시흥시,소래고등학교,,공립,주간,N,,346,349,354,,,,8,0,1057
2020,시흥시,경기도교육청,경기도 시흥시,시흥능곡고등학교,,공립,주간,N,,253,298,311,,,,9,0,871
2020,시흥시,경기도교육청,경기도 시흥시,시흥매화고등학교,,공립,주간,N,,202,204,194,,,,6,0,606
2020,시흥시,경기도교육청,경기도 시흥시,신천고등학교,,공립,주간,N,,248,259,255,,,,15,0,777
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,군자중학교,,공립,주간,N,,200,206,198,,,,8,5,617
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,대흥중학교,,공립,주간,N,,131,132,109,,,,5,0,377
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,서해중학교,,공립,주간,N,,269,253,241,,,,7,0,770
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,한국글로벌중학교,,사립,주간,N,,71,62,45,,,,6,0,184
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,소래중학교,,공립,주간,N,,213,235,256,,,,0,0,704
2020,시흥시,경기도시흥교육지원청,경기도 시흥시,송운중학교,,공립,주간,N,,220,199,199,,,,11,0,629
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,함현중학교,,공립,주간,N,,291,256,231,,,,2,0,780(2)
2019,시흥시,경기도교육청,경기도 시흥시,소래고등학교,,공립,주간,N,,360,362,399,,,,10,0,1131(10)
2019,시흥시,경기도교육청,경기도 시흥시,경기스마트고등학교,,공립,주간,N,,96,81,143,,,,12,2,334(14)
2019,시흥시,경기도교육청,경기도 시흥시,군자디지털과학고등학교,,공립,주간,N,,151,172,202,,,,12,4,541(16)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,배곧중학교,,공립,주간,N,,459,472,380,,,,5,0,1316(5)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,조남중학교,,공립,주간,N,,255,204,158,,,,5,0,622(5)
2019,시흥시,경기도교육청,경기도 시흥시,서해고등학교,,공립,주간,N,,355,332,332,,,,21,0,1040(21)
2019,시흥시,경기도교육청,경기도 시흥시,군서고등학교,,공립,주간,N,,323,300,304,,,,9,0,936(9)
2019,시흥시,경기도교육청,경기도 시흥시,은행고등학교,,공립,주간,N,,333,296,362,,,,19,0,1010(19)
2019,시흥시,경기도교육청,경기도 시흥시,장곡고등학교,,공립,주간,N,,239,223,264,,,,6,0,732(6)
2019,시흥시,경기도교육청,경기도 시흥시,시흥능곡고등학교,,공립,주간,N,,297,314,339,,,,11,0,961(11)
2019,시흥시,경기도교육청,경기도 시흥시,시흥매화고등학교,,공립,주간,N,,205,205,224,,,,9,0,643(9)
2019,시흥시,경기도교육청,경기도 시흥시,신천고등학교,,공립,주간,N,,260,255,279,,,,22,0,816(22)
2019,시흥시,경기도교육청,경기도 시흥시,배곧고등학교,,공립,주간,N,,330,308,317,,,,3,0,958(3)
2019,시흥시,경기도교육청,경기도 시흥시,시흥고등학교,,공립,주간,N,,327,320,386,,,,15,0,1048(15)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,배곧라온초등학교,,공립,,N,,281,243,213,175,186,142,9,0,1249(9)
2019,시흥시,경기도교육청,경기도 시흥시,정왕고등학교,,공립,주간,N,,387,309,315,,,,0,0,1011(0)
2019,시흥시,경기도교육청,경기도 시흥시,한국조리과학고등학교,,사립,주간,N,,244,246,238,,,,0,0,728(0)
2019,시흥시,경기도교육청,경기도 시흥시,경기자동차과학고등학교,,사립,주간,N,,240,229,216,,,,0,0,685(0)
2019,시흥시,경기도교육청,경기도 시흥시,함현고등학교,,공립,주간,N,,307,254,287,,,,16,0,864(16)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,냉정초등학교,,공립,,N,,114,140,101,120,132,134,12,0,753(12)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,목감초등학교,,공립,,N,,80,67,75,66,72,77,7,0,444(7)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,서촌초등학교,,공립,,N,,113,100,88,112,120,116,11,0,660(11)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,서해초등학교,,공립,,N,,172,166,170,156,183,174,8,0,1029(8)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,검바위초등학교,,공립,,N,,61,53,81,58,61,79,3,0,396(3)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,계수초등학교,,공립,,N,,14,8,15,19,14,9,4,0,83(4)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,군서초등학교,,공립,,N,,126,113,101,94,89,107,14,0,644(14)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,군자초등학교,,공립,,N,,156,155,136,124,147,133,12,0,863(12)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,금모래초등학교,,공립,,N,,144,131,147,119,144,122,2,0,809(2)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,대야초등학교,,공립,,N,,38,53,61,55,71,57,5,0,340(5)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,도일초등학교,,공립,,N,,68,87,85,101,81,86,12,3,523(15)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,도창초등학교,,공립,,N,,17,33,30,39,34,32,1,0,186(1)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,소래초등학교,,공립,,N,,58,66,66,61,78,79,5,0,413(5)
2019,시흥시,경기도시흥교육지원청,경기도 시흥시,송운초등학교,,공립,,N,,147,121,139,144,161,157,16,0,885(16)
