,comment,author,date,like,type
0,"곽윤기 선수님 추월 진짜 스무스 하게 너무 잘하심,,, 매번 느끼고 보는 거지만 볼때마다 감탄함ㅠㅠㅠㅠㅠ 곽윤기 선수님, 김동욱 선수님, 황대헌 선수님, 이준서 선수님 4분 모두 수고하셨어요!!! 이준서 선수님 아프신거 빨리 나으시길 바라요ㅠㅠㅠㅠㅠㅠ",오잉,2022-02-11T13:03:54Z,7553,main-comment
1,곽윤기 진짜 대단함 진짜 스케이트를 사랑하는사람. 비슷한 나이때에 처음보고 이제 30대중반이 됐는데 아직도 현역뛰고 기량도 좋고 밑에서 치고 올라 올 때마다 자존심도 상할 수 있고 현타도 올텐데 다이겨내고 국대까지.... 진짜 멋지다.,롸촤 으,2022-02-11T15:03:47Z,3827,main-comment
2,와 진짜...곽윤기선수님은 진짜 전설.... 인코스 추월이 쉽게 보일정도로 엄청나게 잘하심ㅠㅠ,Silvia A,2022-02-11T15:44:06Z,903,main-comment
3,연륜은 못속인다 진짜.... 스포츠가 피지컬뿐만 아닌 뇌지컬도 중요한 분야라는 걸 다시한번 깨닫고 갑니다 멋진 경기 해주신 선수분들 정말 축하드리고 감사합니다 !!,Jimmy Kim,2022-02-12T02:39:56Z,402,main-comment
4,진짜 곽윤기선수가 대단한건 아웃코스로 치고 나가려던 두번의 시도를 훼이크로 쓰며 마지막 역전할수있는 위치에서 바로 인코스로 역전...역시 당신의 노련함은 대단합니다👍,im,2022-02-11T15:42:06Z,1056,main-comment
5,곽윤기선수님 너무 잘하신다 …. 다들 너무너무 수고하셨어요!!!!! 결승까지 화이팅 ㅜㅜㅜㅜㅜ,공두,2022-02-11T13:12:38Z,791,main-comment
6,"여러분 곽윤기 선수가 가장 좋아하는 말이 &quot;곽윤기 ㅈㄴ 잘생겼다~&quot; 라고 하네요... 많이 많이 해주시길 다시 한번 경기 보고 감탄하고 갑니다 진짜 곽윤기 선수, 황대헌 선수, 김동욱 선수, 이준서 선수 모두 항상 응원하고 있겠습니다!!!",진짜내일부터갓생산다,2022-02-11T15:26:18Z,76,main-comment
7,"월드컵 때도 보여준 곽윤기 선수의 대단한 인코스 추월을 이번 올림픽에서도 보게 되네요👏 정말 대단한 선수입니다<br>곽윤기 선수, 김동욱 선수, 황대헌 선수, 이준서 선수의 결승 진출을 축하드립니다! 대한민국 화이팅🇰🇷 결승에서도 다치지않고 최선을 다해주시길 바랍니다!",공백,2022-02-11T18:31:15Z,523,main-comment
8,스무스한 완벽한 아웃라인에서 인라인 추월부터 들어오고 카메라 불까지 찾는 완벽함😝 진짜 인라인 추월 능력은 현역일 수 밖에 없는 테크니션... 결승도 화이팅!💛🇰🇷,꽉은비,2022-02-11T16:14:04Z,101,main-comment
9,와 진짜 발이랑 손에 땀나고 진짜 심장 쿵쾅거리고 진심 우리나라 선수들 너무 멋있어요 진짜로 와 .........,노력없는댓가는 없다,2022-02-11T18:37:15Z,169,main-comment
