,comment,author,date,like,type
0,정찬성:묵묵하고 든든한 팀의수장이자 정신적 지주<br>하승진:피지컬 넘사 팩폭 및 치명적인 멘트딜러<br>인일권:적당한 전투력과 조화를 중요시 하는 분위기 메이커<br>문호:팀의 실질적인 행동대장 중2병 치료 및 갱생담당,stark tony,2022-02-03T17:26:46Z,2842,main-comment
1,자기보다 약한사람만 건드렸다는데 애기들이랑 노인분들만 건들이신건가,Korean Jaeho,2022-02-06T07:53:19Z,331,main-comment
2,정찬성 선수 웃는게 여유가 느껴진다 ㅋㅋㅋㅋ<br>왜케 매력적이시지,지나가는 행인3,2022-02-05T18:21:42Z,306,main-comment
3,"근데 정찬성선수 말하는 스타일이 정말 매너있고 상대감으로 부터 반발감을 없애는 따뜻하면서도 뭔가 지적을 해주는... 나중 은퇴 후, 격투짐을 운영하시며 소년원 상담가로 나서셔도 좋으실 것 같네요.",G reiyoda,2022-02-05T14:09:55Z,518,main-comment
4,첫 스파링때부터 허벌나게 재밋네ㅋㅋㅋ진짜 얼마나 약한사람들을 때리고다녓던거냐 저 귀엽고 깜찍한 냥냥펀지로ㅋㅋㅋㅋ일자로 쭉 뻗어야지 손이 휘네ㅋㅋㅋㅋ이 채널보시는분들께선 약한사람 괴롭히거나 때리지마세요~,혼찌 honzzi,2022-02-06T10:13:37Z,44,main-comment
5,"와 이거 진짜 창의적이다. 보통 일반인이었으면, 잔인하단 말 나오는데, 양아치나 범죄자같은 비양심적인 애들 모아서 참교육도 대신 해주면서 통쾌함 얻게 해주는 컨텐츠.......그리고 하승진? 님이 계속 너한테 맞았던 애들 생각해보라고 하는 거. 진짜. ㅋㅋㅋ",Ho Park,2022-02-03T10:59:30Z,4841,main-comment
6,편집자님이 금손인거다. 이런거 대본 없이 가면 중간중간 엄청 루즈해지고 재미없어지는데 대본 있는 거 처럼 보일 정도면 편집자가 다 한거.,Coney J,2022-02-05T12:37:32Z,168,main-comment
7,진짜 승진이형님 옆에서 도발하시는거 너무좋다,안효진,2022-02-05T19:40:22Z,175,main-comment
8,체급이 안맞긴한데 코좀짐에 경량급 최한길선수 나와서 착한길로 안내해주는 테마도 재밌을듯해요ㅋㅋㅋ,klkiko,2022-02-05T14:04:25Z,150,main-comment
9,건강한 스포츠 정신을 알릴 수 있는 분명한 취지의 좋은 컨텐츠인것 같습니다 <br>1화도 그렇고 스파링부턴 정말 집중해서 봤네요 3분이 이렇게 길었나 짜릿짜릿 ㅋㅋㅋㅋㅋㅋㅋㅋ,퀄님,2022-02-05T17:50:06Z,23,main-comment
10,정찬성은 교도소나 소년원 심리상담사 해도 될듯ㅋㅋ,김덕배,2022-02-06T01:57:15Z,58,main-comment
11,진짜 이거보고 파이트클럽 참가자들이 얼마나 잘 싸우는 건지 알게됨,몰라도왠진,2022-02-06T02:52:45Z,90,main-comment
12,이 영상보니 쾌감을 느끼네요!<br>세상을 너무 만만하게 보는 양아치.<br>약해보인다고 괴롭히는 허세인들.<br>문신충 퇘랑이들..까불이등등 ..<br>많이 참여해서 새롭게 태어놨으면 좋겠네요,카사노바,2022-02-06T13:34:03Z,17,main-comment
13,ㅋㅋㅋㅋㅋㅋㅋㅋ하승진 넌 오늘부터 팬이다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ자존심 종.나패넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ계속 웃기려고 하는데 드립 하나도 안 받아주고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ따봉,시미켄,2022-02-05T14:50:43Z,159,main-comment
14,이번엔 문호님이 웃음기없이 해줘서 너무 좋았음 제대로된 참교육한 느낌이라서,피킨 PIKIN,2022-02-03T13:33:11Z,1123,main-comment
15,대본없이 리얼로가고 섭외도너무좋네요<br>진짜 잘봤습니다ㅈ계속 기대되네요,이경열,2022-02-05T13:52:55Z,61,main-comment
