,title,id,upload_date,category_id,view,like,comment,hour,min,sec
0,2022 베이징 동계올림픽 쇼트트랙 남자 계주 5000m 준결승ㅣ대한민국 [습츠_베이징 올림픽],gd1Ab-TeGCY,2022-02-11,17,1241523,18967,2074,-,9,46
1,[베이징 직캠] 최민정의 오열에 차준환이 외친 말은? [습츠_베이징 올림픽],59Ge8vtd15Q,2022-02-13,17,202272,8472,460,-,2,34
2,"2022 베이징 동계올림픽 쇼트트랙 남자 1500m 준준결승ㅣ이준서, 황대헌, 박장혁 [습츠_베이징 올림픽]",wdsFOCBHRoA,2022-02-09,17,333075,4871,633,-,14,23
3,올림픽 신기록 경신🏆 최민정 쇼트트랙의 역사를 쓰다!! [2022 베이징 겨울올림픽 | 쇼트트랙 여자 1000m 예선],i1YqlAPqQM4,2022-02-09,17,150118,1752,120,-,5,13
4,2022 베이징 동계올림픽 쇼트트랙 남자 1000m 준결승 [습츠_베이징올림픽],IF08AFru1SY,2022-02-07,17,656045,6392,3067,-,10,50
5,2022 베이징 동계올림픽 쇼트트랙 남자 1500m 결승ㅣ황대헌 [습츠_베이징 올림픽],BnYC9qLTNMs,2022-02-09,17,1012078,19072,2811,-,7,46
6,마지막 1바퀴 '엄청난 추월'…놀라운 인코스 진입으로 결승 진출! (쇼트트랙 남자 5000m 계주 준결승) / SBS,avRLLRf_lCk,2022-02-11,25,1340706,15618,1901,-,9,34
7,옷깃만 스쳐도 탈락? 대한민국 ‘쇼트트랙’ 불운에 울고 황당 판정에 당했다 / 14F,u2Xq57cQHIo,2022-02-07,17,1566376,10667,5440,-,6,22
8,[평창 2018] 넘어져도 1위 넘어져도 올림픽신기록!  최강 쇼트트랙 여자 계주팀,tFIORav2YQw,2018-02-10,22,11683360,95287,12475,-,4,48
9,쇼트트랙 이게 말이 됩니까???? 그들만의 올림PICK,lIrJMYcxBXI,2022-02-07,22,1733080,69693,7547,-,5,33
